District,Total Enrollment,Total Revenue
EASTERN LEBANON COUNTY SCH DIST,2419,38085
EASTERN LOCAL SCH DIST,797,9236
EASTERN LOCAL SCH DIST,800,10934
EASTERN LOCAL SCH DIST,1289,15336
EASTERN PULASKI COMMUNITY SCHOOL CORPORATION,1185,13519
EASTERN SIERRA UNIFIED SCHOOL DIST,399,9626
EASTERN YORK SCH DIST,2525,40930
EASTERN-HOWARD COMMUNITY SCHOOL CORPORATION,1150,15353
EASTFORD PUBLIC SCHOOLS,139,4291
EASTHAM TOWN SCH,182,6335
EASTHAMPTON CITY SCHOOLS,1538,26009
EASTLAND COMMUNITY UNIT SCHOOL DISTRICT 308,638,9769
EASTLAND IND SCH DISTRICT 903,1088,11686
EASTMONT SCHOOL DISTRICT 206,5834,67670
EASTON AREA SCHOOL DIST,8756,144141
EASTON SCHOOL DISTRICT 28,111,2666
EASTON TOWN PUBLIC SCH,3795,56887
EASTON TOWN SCHOOLS,191,3956
EASTON TOWN SCHOOLS,935,21044
EASTON TWP SCH DIST 6F,34,268
EASTON UNIFIED SCHOOL DISTRICT 449,639,8451
EASTPORT CITY SCHOOLS,123,2570
EASTPORT-SOUTH MANOR CENTRAL SCHOOL DISTRICT,3623,89281
EASTSIDE UNION ELEM SCH DIST,3353,35215
EASTSIDE UNION HIGH SCHOOL DIST,26760,321671
EASTWOOD LOCAL SCH DIST,1431,21169
EATON CITY SCH DIST,2124,27122
EATON RAPIDS PUB SCH DIST,2446,27250
EATON SCHOOL DIST RE-2,1904,17699
EATON TOWN SCH DIST,21,631
EATONTOWNBORO SCH DIST,1051,22787
EATONVILLE SCHOOL DISTRICT 404,1911,21503
EAU CLAIRE AREA SCHOOL DISTRICT,11151,139643
EAU CLAIRE SCH DIST,914,9990
ECHO SCHOOL DIST 5,244,3552
ECHOLS CO SCH DIST,819,8878
ECORSE PUBLIC SCHOOLS,1029,16992
ECTOR CO IND SCHOOL DISTRICT 901,31971,278135
ECTOR IND SCH DIST 905,270,3215
EDCOUCH ELSA IND SCH DIST 903,5049,61628
EDDYVILLE-BLAKESBURG SCHOOL DISTRICT,916,11630
EDEN CENTRAL SCH DIST,1500,26744
EDEN IND SCH DISTRICT 901,247,3076
EDEN PRAIRIE SCHOOL DISTRICT 272,9202,129673
EDEN TOWN SCH DIST,122,2830
EDEN VALLEY-WATKINS SCH DIST 463,971,11552
EDENTON-CHOWAN CO SCHOOLS,2263,23918
EDGAR CITY SCHOOL DISTRICT,654,9202
EDGAR COUNTY COMMUNITY UNIT SCHOOL DISTRICT 6,351,4275
EDGARTOWN TOWN SCHS,411,11379
EDGECOMB EDDY SCHOOLS,149,2596
EDGECOMBE COUNTY PUBLIC SCHOOL SYSTEM,6016,57704
EDGEFIELD COUNTY SCHOOL DISTRICT,3472,40279
EDGELEY PUBLIC SCH DIST 3,217,3781
EDGEMONT SCHOOL DISTRICT 23-1,156,2468
EDGEMONT UF SCH DIST,1925,52806
EDGERTON LOCAL SCH DIST,629,7808
EDGERTON SCH DIST 581,381,5087
EDGERTON SCHOOL DISTRICT 8,1877,23357
EDGEWATER BORO SCH DIST,912,21530
EDGEWATER PARK TWP SCH DIST,862,18330
EDGEWOOD CITY SCHOOLS,3560,40975
EDGEWOOD IND SCH DIST 903,915,10310
EDGEWOOD IND SCH DIST 905,11735,135776
EDGEWOOD-COLESBURG COMMUNITY SCHOOL DISTRICT,432,6613
EDINA SCH DIST 273,8581,121994
EDINBURG COMMON SCH DIST,89,3197
EDINBURG COMMUNITY UNIT SCHOOL DISTRICT 4,268,3126
EDINBURG IND SCH DIST 904,34285,370076
EDINBURGH COMMUNITY SCHOOL CORPORATION,877,10397
EDISON ELEM SCH DIST,1056,12726
EDISON LOCAL SCH DIST,1556,21157
EDISON LOCAL SCHOOL DISTRICT,1486,17903
EDISON SCH DIST 54 JT,217,2646
EDISON TOWNSHIP SCHOOL DISTRICT,14652,257977
EDMESTON CTL SCH DIST,438,10553
EDMOND SCH DIST 12,23522,203833
EDMONDS SCHOOL DISTRICT 15,20847,269240
EDMONSON CO SCH DIST,1941,19166
EDMORE PUBLIC SCH DIST 2,67,2274
EDMUNDS CENTRAL SCHOOL DISTRICT 22-5,130,1739
EDNA IND SCH DIST 901,1573,18426
EDON NORTHWEST LOCAL SCH DIST,539,6305
EDUCATION OF CHILDREN IN UNORGANIZED TERRITORY,846,12038
EDWARDS COUNTY COMMUNITY UNIT SCHOOL DISTRICT 1,939,8609
EDWARDSBURG CONS SCH DIST,2771,25197
EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,584,12813
EDWARDSVILLE COMMUNITY UNIT SCHOOL DISTRICT 7,7551,87012
EFFINGHAM CO SCH DIST,11625,109758
EFFINGHAM COMMUNITY UNIT SCHOOL DISTRICT 40,2691,27988
EGG HARBOR CITY SCHOOL DISTRICT,503,11983
EGG HARBOR TWP SCH DIST,7565,140172
EGYPTIAN COMMUNITY UNIT SCHOOL DISTRICT 5,480,6031
EIGHT MI SPEC SCH DIST 6,248,3917
EKALAKA ELEM DIST 15,77,1874
EL CAMPO IND SCH DIST 903,3624,36557
EL CENTRO ELEM SCH DIST,6101,56386
EL DORADO CO SPL SCHS OPER BY CO SUPT,985,128971
EL DORADO SCH DIST 15,4520,42943
EL DORADO SPRINGS DIST 2,1204,11712
EL DORADO UN HIGH SCHOOL DIST,6810,73463
EL MONTE CITY SCHOOL DISTRICT,9031,121463
EL MONTE UNION HIGH SCHOOL DIST,9388,132425
EL NIDO SCH DIST,172,2090
EL PASO IND SCH DIST 902,60852,615558
EL PASO-GRIDLEY COMMUNITY UNIT SCHOOL DISTRICT 11,1230,15317
EL RANCHO UNIFIED SCHOOL DIST,9129,97264
EL RENO SCH DIST 34,2554,28722
EL SEGUNDO UNI SCH DIST,3477,36913
EL TEJON UNIFIED SCH DIST,744,9780
ELBA CENTRAL SCH DIST,415,9662
ELBA CITY SCHOOL DISTRICT,658,7453
ELBA SCH DIST 103,99,2379
ELBERT CO SCH DIST,3047,32601
ELBERT SCH DIST 200,221,2938
ELCHO JOINT SCHOOL DISTRICT 1,335,6162
ELDER GROVE ELEM DIST 8,515,3964
ELDON SCH DIST R 1,1928,20431
ELDORADO COMMUNITY UNIT SCHOOL DISTRICT 4,1226,12209
ELDORADO SCH DIST 25,80,1288
ELDORADO UNIFIED SCHOOL DISTRICT 490,2001,24381
ELDORA-NEW PROVIDENCE COMMUNITY SCHOOL DISTRICT,668,9961
ELDRED CENTRAL SCHOOL DISTRICT,629,16677
ELECTRA IND SCH DIST 902,410,5508
ELEM SCHOOL DISTRICT 159,1947,46865
ELEVA STRUM SCHOOL DISTRICT 1,614,9465
ELFRIDA SCHOOL DISTRICT 12,122,1246
ELGIN IND SCH DIST 902,4277,47608
ELGIN LOCAL SCH DIST,1036,17190
ELGIN SCH DIST 16,2188,17616
ELGIN SCH DIST 18,200,4313
ELGIN SCH DIST 23,392,4365
ELGIN-NEW LEIPZIG PUBLIC SCHOOL DISTRICT 49,118,2776
ELIDA LOCAL SCH DIST,2480,28164
ELIDA SCHOOL DISTRICT,129,2467
ELIZABETH CITY SCHOOL DISTRICT,25743,546255
ELIZABETH CITY-PASQUOTANK CO SCHS,5936,53690
ELIZABETH FORWARD SCH DIST,2346,39907
ELIZABETH SCH DIST C-1,2545,23207
ELIZABETHTON CITY SCH,2593,25037
ELIZABETHTOWN AREA SCH DIST,3915,54244
ELIZABETHTOWN IND SCH D,2632,26072
ELIZABETHTOWN LEWIS CENTRAL SCHOOL DIST,262,8203
ELK CITY SCH DIST 6,2288,17518
ELK GROVE UNIFIED SCHOOL DISTRICT,62888,631078
ELK HILLS ELEM SCH DIST,203,2927
ELK LAKE SCHOOL DISTRICT,1231,19433
ELK MOUND SCHOOL DISTRICT,1164,13632
ELK POINT-JEFFERSON SCHOOL DISTRICT 61-7,705,6976
ELK RAPIDS SCH DIST 1,1329,14007
ELK RIVER PUBLIC SCHOOL DISTRICT 728,13097,168677
ELK TWP SCH DIST,346,6545
ELK VALLEY UNIFIED SCHOOL DISTRICT 283,153,3031
ELKHART COMMUNITY SCHOOLS,13770,188937
ELKHART IND SCH DIST 903,1217,12294
ELKHART LAKE-GLENBEUL SCHOOL DISTRICT,477,7357
ELKHART UNIFIED SCHOOL DISTRICT 218,1051,8528
ELKHORN AREA SCHOOL DISTRICT,3246,39398
ELKHORN SCH DIST 10,7553,85656
ELKHORN VALLEY SCH DI 80,341,6448
ELKIN CITY SCHOOLS,1252,12011
ELKINS SCH DIST 10,1112,10801
ELKO COUNTY SCHOOL DISTRICT,9859,110106
ELKTON SCH DIST 34,440,5682
ELKTON SCHOOL DISTRICT 5-3,340,3702
ELLENDALE SPECIAL SCHOOL DIST 40,329,4879
ELLENSBURG SCHOOL DISTRICT 401,3155,34769
ELLENVILLE CENTRAL SCHOOL DISTRICT,1786,45013
ELLICOTT SCH DIST 22,1072,9545
ELLICOTTVILLE CENT SCH,588,11202
ELLINGTON TOWN SCHOOLS,2655,42822
ELLINWOOD UNIFIED SCHOOL DISTRICT 355,483,6110
ELLIOTT CO SCH DIST,1088,12889
ELLIS UNIFIED SCHOOL DISTRICT 388,479,4870
ELL-SALINE UNIFIED SCHOOL DISTRICT 307,490,6252
ELLSWORTH COMM SCH DIST,271,2793
ELLSWORTH SCHOOL DISTRICT 1,1681,21695
ELLSWORTH SCHOOL DISTRICT 514,146,1993
ELLSWORTH UNIFIED SCHOOL DISTRICT 327,618,6922
ELLWOOD CITY AREA SCH DIST,1747,26883
ELM CREEK VIL SCH DIST 9,355,5706
ELMA SCHOOL DISTRICT 68,1498,17451
ELMBROOK SCHOOL DISTRICT,6988,99333
ELMHURST SCHOOL DISTRICT 205,8449,142043
ELMIRA CITY SCH DIST,6582,128640
ELMIRA HGTS CENTRAL SCH,1081,21276
ELMONT UNION FREE SCH DIST,3883,82507
ELMORE CITY-PERNELL SCH DIST 72,497,4491
ELMORE COUNTY SCHOOL DISTRICT,11223,96074
ELMORE TOWN SCH DIST,131,2082
ELMSFORD UF SCH DIST,1015,31553
ELMWOOD AREA SCHOOL DISTRICT,324,5360
ELMWOOD COMMUNITY UNIT SCHOOL DISTRICT 322,693,7585
ELMWOOD LOCAL SCH DIST,1216,14023
ELMWOOD PARK BORO SCH DIST,2522,53168
ELMWOOD PARK COMMUNITY UNIT SCHOOL DISTRICT 401,2929,49709
ELMWOOD-MURDOCK SCHOOL DIST 097,426,6660
ELOY SCHOOL DISTRICT 11,964,8542
ELSBERRY SCH DIST R 2,791,8354
ELSINBORO TWP SCH DIST,124,2674
ELVERADO COMMUNITY UNIT SCHOOL DISTRICT 196,515,4999
ELVERTA JT ELEM SCH DIST,334,3406
ELWOOD COMMUNITY SCHOOL CORPORATION,1654,17501
ELWOOD COMMUNITY SCHOOL DISTRICT 203,380,5063
ELWOOD SCH DIST 30,223,4773
ELWOOD UF SCH DIST,2354,57503
ELY IND SCH DIST 696,556,8250
ELYRIA CITY SCH DIST,6465,93113
ELYSIAN ELEM DIST 23,253,2790
ELYSIAN FIELDS IND SH DISTRICT 906,992,10498
EMANUEL CO SCH DIST,4325,41660
EMERADO PUB SCH DIST 127,127,1639
EMERSON HUBBARD SD 561,263,5444
EMERSON SCHOOL DISTRICT,1199,21914
EMERSON-TAYLOR SCH DIST,1002,12238
EMERY CO SCH DIST,2368,25823
EMERY UNI SCH DIST,695,21371
EMINENCE CONSOLIDATED SCHOOL CORPORATION,417,4932
EMINENCE IND SCH DIST,733,8226
EMINENCE SCH DIST R 1,279,3155
EMMETSBURG COMMUNITY SCHOOL DISTRICT,696,10037
EMMETT JOINT SCHOOL DISTRICT 221,2529,20639
EMMONS SCHOOL DISTRICT 33,308,5619
EMPIRE SCH DIST 21,476,4337
EMPIRE UNION ELEM SCH DIST,3034,36791
EMPORIA UNIFIED SCHOOL DISTRICT 253,4577,51780
ENCINITAS UNION ELEM SCH DIST,5445,69380
ENDERLIN AREA SCHOOL DISTRICT 24,327,4524
ENDICOTT SCHOOL DISTRICT 308,105,2376
ENFIELD TOWN SCHOOLS,5155,122287
ENGADINE CONSOL SCH DIST,269,3033
ENGLAND SCH DIST,789,7960
ENGLEWOOD CITY SCHOOL DISTRICT,3110,73368
ENGLEWOOD CLIFFS BORO SCHOOL DIST,547,12479
ENGLEWOOD SCH DIST 1,2866,38454
ENGLISH VALLEYS COMMUNITY SCHOOL DISTRICT,508,6409
ENID SCH DIST 57,8051,69048
ENNIS IND SCH DISTRICT 903,5802,59205
ENNIS K-12 SCHOOL DISTRICT,340,4025
ENOSBURG FALLS SCH DIST,486,11292
ENTERPRISE CITY SCHOOL DISTRICT,6674,78501
ENTERPRISE CONS SCH DIST,1011,9144
ENTERPRISE ELEM SCH DIST,3622,40383
ENTERPRISE SCH DIST 21,382,4899
ENTIAT SCHOOL DISTRICT 127,356,6271
ENUMCLAW SCHOOL DISTRICT 216,4094,48679
EPHRATA AREA SCH DIST,4167,62772
EPHRATA SCHOOL DISTRICT 165,2426,25806
EPPING SCHOOL DISTRICT,997,17612
EPSOM TOWN SCH DIST,653,9030
ERA INDEP SCH DISTRICT 906,472,5309
ERICK SCH DIST 51,258,2649
ERIE CITY SCH DIST,11815,186821
ERIE COMMUNITY UNIT SCHOOL DISTRICT 1,663,12597
ERIE-ST PAUL UNIFIED SCHOOL DISTRICT 101,584,8833
ERIN SCHOOL DISTRICT 2,352,3756
ERLANGER-ELSMERE INDEPENDENT SCHOOL DIST,2320,27514
ERVING ELEMENTARY SCH,140,5426
ESCALON UNIFIED SCH DIST,2849,26560
ESCAMBIA COUNTY SCHOOL DISTRICT,4460,44954
ESCAMBIA COUNTY SCHOOL DISTRICT,40735,392994
ESCANABA AREA PUB SCH,2422,26405
ESCONDIDO UNION ELEM SCH DIST,19204,191433
ESCONDIDO UNION HIGH SCH.DIST,9442,105912
ESKO SCH DIST 99,1193,12525
ESMERALDA COUNTY SCHOOL DISTRICT,74,1933
ESPANOLA SCHOOL DISTRICT 45,4017,47873
ESPARTO UNIFIED SCH DIST,976,10136
ESSEX CO ED SERV COMM,84,86217
ESSEX CO SCHS,1526,17500
ESSEX COMM ED CTR UHSD 46,1053,34092
ESSEX COMMUNITY SCHOOL DISTRICT,229,3396
ESSEX COUNTY VOCATIONAL SCHOOL,2240,104204
ESSEX FELLS BORO SCH DIST,209,4896
ESSEX JCT INC SCH DIST,1124,20787
ESSEX TOWN SCH DIST,1279,22906
ESSEX TOWN SCHOOLS,451,9979
ESSEXVILLE HAMPTON SCH DIST,1737,16584
ESTACADA SCH DIST 108,2757,29659
ESTANCIA MUNICIPAL SCHOOL DISTRICT,742,9794
ESTELL MANOR SCHOOL DIST,166,4951
ESTELLINE SCHOOL DISTRICT 28-2,277,2984
ESTHERVILLE LINCOLN CENTRAL COMMUNITY SCHOOL DISTRICT,1465,18478
ESTILL CO SCH DIST,2537,26521
ESWOOD COMMUNITY CONSOLIDATED DISTRICT 269,85,1249
ETHAN SCHOOL DISTRICT 17-1,251,2395
ETIWANDA ELEM SCH DIST,13652,137705
ETOILE IND SCH DIST 910,130,1681
ETOWAH COUNTY BOARD OF EDUCATION,8932,77297
ETOWAH TOWN SCH DIST,338,3430
EUCLID CITY SCH DIST,5436,87008
EUDORA UNIFIED SCHOOL DISTRICT 491,1673,20731
EUFAULA CITY SCHOOL DISTRICT,2829,26076
EUFAULA SCH DIST 1,1253,12272
EUGENE SCH DIST 4J,17017,208872
EULA IND SCH DISTRICT 906,405,5213
EUNICE PUBLIC SCHOOL DISTRICT,755,15619
EUREKA CITY UNIFIED SCHOOL DISTRICT,3722,42733
EUREKA COMMUNITY UNIT SCHOOL DISTRICT 140,1644,16186
EUREKA COUNTY SCHOOL DISTRICT,247,13150
EUREKA ELEM DIST 13,413,6111
EUREKA SCHOOL DISTRICT 44-1,144,2150
EUREKA SPRINGS SCH DIST,644,9311
EUREKA UNIFIED SCHOOL DISTRICT 389,689,9200
EUREKA UNION ELEM SCH DIST,3338,31374
EUSTACE IND SCH DIST 905,1513,15636
EUSTIS PUBLIC SCHOOLS,58,2070
EUSTIS-FARNAM PUBLIC SCHOOLS,205,3734
EVADALE IND SCH DIST 906,482,6169
EVALINE SCHOOL DISTRICT 36,36,803
EVANGELINE PARISH SCHOOL DISTRICT,6120,60311
EVANS BRANT CENTRAL SCH DIST,2499,53372
EVANS CO SCH DIST,1904,19020
EVANSTON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 65,7655,142757
EVANSTON TOWNSHIP HIGH SCHOOL DISTRICT 202,3230,95731
EVANSVILLE COMMUNITY SCHOOL DISTRICT,1736,24378
EVANSVILLE-VANDERBURGH SCHOOL CORPORATION,22518,295156
EVANT IND SCH DISTRICT 901,259,2584
EVART PUB SCHOOL DIST 3,899,9617
EVELETH-GILBERT ISD 2154,1074,15644
EVERETT AREA SCH DIST,1331,19491
EVERETT CITY SCH,7071,117800
EVERETT SCHOOL DISTRICT 2,19615,248748
EVERGREEN ELEM DIST 50,764,8346
EVERGREEN ELEM SCH DIST,12857,121925
EVERGREEN LOCAL SCH DIST,1186,17262
EVERGREEN PARK COMMUNITY HIGH SCHOOL DISTRICT 231,856,24272
EVERGREEN PARK SCHOOL DISTRICT 124,1758,32928
EVERGREEN SCHOOL DISTRICT 114,26526,313980
EVERGREEN UNION ELEM SCH DIST,1063,10597
EVERMAN IND SCH DIST 904,5543,56927
EVERTON SCH DIST 3,163,1956
EVESHAM TWP SCH DIST,4568,87199
EWEN-TROUT CREEK SCH DIST,205,3409
EWING NORTHERN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 115,217,2467
EWING SCH DIST 29,129,2813
EWING TWP SCH DIST,3607,79111
EXCELSIOR IND SCH DIST 906,92,1183
EXCELSIOR SPRINGS SCHOOL DIST 40,2872,32156
EXETER REGION COOPERATIVE SCHOOL DISTRICT,3160,52442
EXETER SCH DIST R 6,336,3342
EXETER SCHOOL DISTRICT,1038,15476
EXETER TWP SCHOOL DIST,4061,68912
EXETER UNIFIED SCHOOL DISTRICT,2979,30303
EXETER-MILLIGAN SCHOOL DISTRICT,189,5349
EXETER-WEST GREENWICH REGIONAL SCHOOL DISTRICT,1645,34811
EXIRA COMMUNITY SCHOOL DISTRICT,442,6534
EZZELL IND SCH DIST 906,81,1415
FABENS IND SCH DISTRICT 903,2333,26725
FABIUS-POMPEY CENTRAL SCHOOL DIST,695,17501
FAIR GROVE SCH DIST R-10,1120,9454
FAIR HAVEN BORO SCH DIST,1007,15920
FAIR HAVEN TOWN SCH DIST,314,5459
FAIR HAVEN UNION HIGH SCHOOL DIST 16,423,7926
FAIR LAWN BORO SCH DIST,4697,101147
FAIR PLAY SCH DIST R2,362,6858
FAIRBANKS LOCAL SCH DIST,1003,14051
FAIRBANKS N STAR BOROUGH SCHOOL DISTRICT,13863,287828
FAIRBORN CITY SCH DIST,4257,51533
FAIRBURY CITY SCH DIST 8,945,12743
FAIRFAX CO SCHS,185541,2642632
FAIRFAX ELEM SCH DIST,2412,27322
FAIRFAX SCH DIST R 3,126,1823
FAIRFAX TOWN SCH DIST,790,12647
FAIRFIELD AREA SCHOOL DIST,1053,17189
FAIRFIELD CITY SCH DIST,9875,107737
FAIRFIELD CITY SCHOOL DISTRICT,1876,17948
FAIRFIELD COM HIGH SCHOOL DISTRICT 225,452,4909
FAIRFIELD COMMUNITY SCHOOL DISTRICT,1689,23291
FAIRFIELD COMMUNITY SCHOOLS,2025,22520
FAIRFIELD COUNTY SCHOOL DISTRICT,2932,53430
FAIRFIELD ELEM SCH DIST 21,178,2331
FAIRFIELD H S DIST 21,108,2773
FAIRFIELD IND SCH DISTRICT 902,1764,29020
FAIRFIELD LOCAL SCH DIST,940,10009
FAIRFIELD PUBLIC SCHOOL DISTRICT 112,743,6799
FAIRFIELD TOWN SCH DIST,342,5401
FAIRFIELD TOWN SCHOOL DISTRICT,10176,220919
FAIRFIELD TWP SCH DIST,623,12125
FAIRFIELD TWP SCH DIST,631,10621
FAIRFIELD UNIFIED SCHOOL DISTRICT 310,315,4948
FAIRFIELD UNION LOCAL SCH DIST,1935,24462
FAIRFIELD-SUISUN JT UNIFIED SCH DIST,21366,210718
FAIRHAVEN TOWN SCHS,1999,27646
FAIRLAND LOCAL SCH DIST,1675,15835
FAIRLAND SCH DIST 31,595,5207
FAIRLAWN LOCAL SCH DIST,666,7214
FAIRLESS LOCAL SCH DIST,1530,17853
FAIRMONT SCHOOL DISTRICT 89,335,5885
FAIRMONT-CEYLON SCHOOL DIST 2752,1759,23741
FAIR-MONT-EGAN ELEM DIST 3,180,1463
FAIRMOUNT PUB SCH DIST 18,108,2072
FAIRPORT CENTRAL SCHOOL DIST,6170,113344
FAIRPORT HARBOR EXEM SCH DIST,628,6263
FAIRVIEW AREA SCH DIST,298,3327
FAIRVIEW BORO SCH DIST,1311,25368
FAIRVIEW ELEM SCH DIST 13,206,4034
FAIRVIEW H S DIST 3,101,2992
FAIRVIEW IND SCH DIST,847,9413
FAIRVIEW PARK CITY SCH DIST,1824,24890
FAIRVIEW SCH DIST,1617,24591
FAIRVIEW SCH DIST 84,759,8108
FAIRVIEW SCH DIST R 11,723,5896
FAITH SCHOOL DISTRICT 46-2,205,2399
FALCON SCH DIST 49,19552,176456
FALCONER CENTRAL SCHOOL DIST,1229,20909
FALL CREEK VILLAGE SCHOOL DISTRICT,823,10417
FALL MOUNTAIN REGIONAL SCHOOL DIST,1565,28063
FALL RIVER CITY PUBLIC SCHS,10246,177003
FALL RIVER JT UNIFIED SCH DIST,1169,14632
FALL RIVER SCHOOL DISTRICT,492,6715
FALLBROOK UNION ELEM SCH DIST,5113,60036
FALLBROOK UNION HIGH SCHOOL DIST,2439,32921
FALLS CHURCH CITY SCHOOLS,2465,46801
FALLS CITY IND SCH DISTRICT 904,360,15806
FALLS CITY SCH DIST 56,863,12517
FALLS CITY SCH DIST 57,145,2560
FALLSBURG CENTRAL SCHOOL DISTRICT,1430,41085
FALMOUTH PUBLIC SCHOOLS,3547,68283
FALMOUTH SCHOOL DEPARTMENT,2119,35923
FANNETT METAL SCHOOL DIST,502,7656
FANNIN CO SCH DIST,2949,39750
FANNINDEL IND SCH DISTRICT 914,173,2517
FANSHAWE SCH DIST 39,66,705
FARGO SCH DIST 1,11284,160468
FARGO SCH DIST 2,197,4199
FARIBAULT SCH DIST 656,3933,56945
FARMERSVILLE IND SCH DIST 904,1549,16555
FARMERSVILLE UNIFIED SCHOOL DISTRICT,2626,28619
FARMINGDALE BORO SCH DIST,165,2756
FARMINGDALE UNION FREE SCH DIST,5918,156536
FARMINGTON CENTRAL COMMUNITY UNIT SCHOOL DISTRICT 265,1438,16879
FARMINGTON RIVER REGIONAL SCHOOL DISTRICT,129,5109
FARMINGTON SCH DIST,10311,153766
FARMINGTON SCH DIST 192,7159,93770
FARMINGTON SCH DIST 6,2321,24120
FARMINGTON SCH DIST R-7,3945,37715
FARMINGTON SCHOOL DISTRICT 5,11765,115339
FARMINGTON TOWN SCH DIST,1000,17439
FARMINGTON TOWN SCHOOLS,3997,79345
FARRAGUT COMMUNITY SCHOOL DISTRICT,215,3741
FARRELL AREA SCH DIST,725,20945
FARRINGTON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 99,72,671
FARWELL AREA SCH DIST,1377,14202
FARWELL IND SCH DIST 902,552,5495
FAULKTON SCHOOL DISTRICT 24-4,329,3618
FAUQUIER CO SCHS,11167,137146
FAYETTE CO SCH DIST,3549,36537
FAYETTE CO SCH DIST,6788,80802
FAYETTE CO SCH DIST,20074,219976
FAYETTE CO SCH DIST,40590,494459
FAYETTE COUNTY CONSOLIDATED SCHOOL CORPORATION,3804,46524
FAYETTE COUNTY SCHOOL DISTRICT,2430,22304
FAYETTE SCH DIST R 3,665,6192
FAYETTE TOWN SCHOOLS,163,1840
FAYETTEVILLE IND SCH DIST 906,211,2329
FAYETTEVILLE PERRY SCHOOL DIST,863,9683
FAYETTEVILLE SCH DIST 1,9503,117301
FAYETTEVILLE TOWN SCH DIST,1549,12281
FAYETTEVILLE-MANLIUS CENTRAL SCH DIST,4191,79940
FAYSTON TOWN SCH DIST,110,1942
FEATHER FALLS UNION ELEM SCH DIST,50,493
FEDERAL HOCKING SCH DIST,998,15130
FEDERAL WAY SCHOOL DISTRICT 210,22501,278629
FELICITY FRANKLIN SCH DIST,899,11769
FELT SCH DIST 10,82,1187
FENNIMORE SCHOOL DISTRICT,801,9750
FENNVILLE SCH DIST,1362,14854
FENTON AREA SCH DIST 12,3385,38800
FENTON COMMUNITY HIGH SCHOOL DISTRICT 100,1555,36449
FENTRESS CO SCH DIST,2293,21184
FERGUS FALLS IND SCH DIST 544,2708,31354
FERGUS HIGH SCH DIST 1,353,4848
FERGUSON FLORISSANT SC DST R2,11466,130057
FERN RIDGE SCH DIST 28 J,1459,16735
FERNDALE AREA SCH DIST,679,10887
FERNDALE CITY SCH DIST,2933,36285
FERNDALE SCHOOL DISTRICT 502,4954,57235
FERNDALE UNIFIED SCHOOL DISTRICT,494,5436
FERRIS IND SCH DIST 905,2454,25662
FERRISBURG TOWN SCH DIST,186,3797
FERTILE SCH DIST 599,440,5692
FESSENDEN BOWDON SCH DIST 25,147,3078
FESTUS SCHOOL DISTRICT R-6,2968,27952
FIELD COMMUNITY CONSOLIDATED SCHOOL DISTRICT 3,315,2635
FIELD LOCAL SCH DIST,1943,22478
FIELDBROOK ELEM SCH DIST,157,1370
FIELDCREST COMMUNITY UNIT SCHOOL DISTRICT 6,1145,15138
FIFE LAKE FOREST AREA CMNTY SCHOOLS,542,5879
FIFE SCHOOL DISTRICT 417,3651,41583
FILER SCHOOL DISTRICT 413,1558,11726
FILLMORE CENTRAL PUBLIC SCHOOLS,542,9192
FILLMORE CENTRAL SCH DIST,683,15005
FILLMORE CENTRAL SCHOOL DISTRICT,600,8638
FILLMORE UNIFIED SCH DIST,3774,43712
FINDLAY CITY SCH DIST,5831,72597
FINLEY SCHOOL DISTRICT 53,915,10780
FINLEY-SHARON SCHOOL DISTRICT 19,104,2550
FINNEYTOWN LOCAL SCH DIST,1489,23793
FIRE ISLAND UNION FREE SCH DIST,36,5479
FIREBAUGH-LAS DELTAS UNIFIED SCHOOL DIST,2296,28474
FIRELANDS LOCAL SCH DIST,1666,20686
FIRTH SCHOOL DISTRICT 59,757,5129
FISHER COMMUNITY UNIT SCHOOL DISTRICT 1,608,7871
FISHER SCH DIST 600,263,3404
FISHERS ISLAND UNION FREE SCHOOL DIST,69,3654
FITCHBURG CITY SCH,5041,85472
FITZGERALD SCH DIST,2602,33942
FIVE TOWN COMMUNITY SCHOOL DISTRICT 19 (919),644,13486
FLAGLER COUNTY SCHOOL DISTRICT,12793,123386
FLAGSTAFF SCHOOL DISTRICT 1,9725,86820
FLAMBEAU SCHOOL DISTRICT,601,9996
FLANAGAN CORNELL SCHOOL DISTRICT 74,336,5530
FLANDREAU SCHOOL DISTRICT 50-3,656,6657
FLASHER SCH DIST 39,225,3479
FLAT ROCK COMM SCHOOLS,1890,22517
FLAT ROCK HAWCREEK SCHOOL CORPORATION,870,10392
FLATONIA IND SCH DIST 901,613,9512
FLEETWOOD AREA SCH DIST,2622,43032
FLEMING CO SCH DIST,2306,25644
FLEMINGTON-RARITAN REG SCH DIST,3340,64542
FLETCHER SCH DIST 9,486,3781
FLETCHER TOWN SCHOOL DISTRICT,220,3046
FLINT CITY SCH DIST,6468,99938
FLINT HILLS UNIFIED SCHOOL DISTRICT 492,284,4017
FLIPPIN SCH DIST,874,9365
FLOODWOOD IND SCHOOL DIST 698,244,4579
FLORA COMMUNITY UNIT SCHOOL DISTRICT 35,1373,32487
FLORAL PARK BELLEROSE UNION FREE SCH DIST,1484,28338
FLORENCE CITY SCHOOL DISTRICT,4458,51582
